"date","ret_eq","ret_mkt","cum_ret_eq","cum_ret_mkt"
2001-11-01,0.00504285714285715,-0.0229714184429892,0.00504285714285713,-0.0229714184429892
2001-12-01,0.0286714285714286,0.0597582120094366,0.0338588716326531,0.0354140626729738
2002-01-01,0.0725616883116883,0.0705311404775382,0.108877416834336,0.10844299737978
2002-02-01,-0.0144190476190476,0.00983324116743471,0.0928884605573148,0.119342584693369
2002-03-01,-0.036902030075188,-0.0199695818669348,0.052558657717003,0.0969897813111888
2002-04-01,-0.0666469979296066,-0.0123044371366677,-0.0175912169646516,0.0834919395074785
2002-05-01,0.00910942249240129,0.00376032510570125,-0.00864204029973681,0.0875662214494333
2002-06-01,-0.0279505952380952,-0.0533689150571989,-0.0363510853673827,0.0295239921578196
2002-07-01,-0.0220116071428572,-0.0018501801589396,-0.0575625466999166,0.027619187294377
2002-08-01,0.00565505952380954,0.00240424982495551,-0.0522330068040371,0.0300898405455503
2002-09-01,0.0261994047619048,0.0302144784574084,-0.0274020757293226,0.061213467841909
2002-10-01,0.0120139880952381,0.054259867956356,-0.0157172958456814,0.118794770480517
2002-11-01,0.02756875,0.0354411649556456,0.0114181479544728,0.158446160492631
2002-12-01,0.0107702380952381,0.00855676801979162,0.0223113622217872,0.168358715551385
2003-01-01,-0.00156187015503877,-0.00968478540688635,0.0207146446159761,0.157043412113004
2003-02-01,0.0331485621521336,0.0236146836432184,0.0545498674526215,0.184366626251523
2003-03-01,0.0781893333333333,0.0602383618019472,0.137004418555497,0.255710931589813
2003-04-01,0.116954092071611,0.0815697394885826,0.269981738009065,0.35813894515256
2003-05-01,0.00926546644844518,-0.0468857349167198,0.281748711192726,0.294461602590063
2003-06-01,-0.00610235849056601,0.0195574614450415,0.273927021062208,0.319777985474805
2003-07-01,0.0623611111111111,0.0314460803759105,0.353370525570115,0.361279830084403
2003-08-01,-0.0423131944444444,-0.0242371232578724,0.296105095366286,0.328286323054192
2003-09-01,0.0323118055555556,0.0192577089437376,0.337984591187327,0.353866074457517
2003-10-01,0.131808796296296,0.147389140160482,0.51434272961472,0.553411231064257
2003-11-01,-0.0077252314814815,0.0130662053386114,0.502644081486148,0.573708421184648
2003-12-01,0.132853240740741,0.019166734348629,0.702275217391477,0.603871272435694
2004-01-01,-0.00669212962962958,0.051675550065193,0.690883370971387,0.68675220267257
2004-02-01,-0.0660053240740741,-0.0346767087248576,0.579276066098958,0.628261187849481
2004-03-01,0.00701447467876039,0.0271399667763589,0.590353858075381,0.672452142390951
2004-04-01,0.0217478181818181,0.0295224277452697,0.624940584625558,0.721826989922109
2004-05-01,0.033721393557423,0.0196233445595343,0.679735845587145,0.755614994217257
2004-06-01,0.0672993252361673,0.0575983376191421,0.792780934570163,0.85673549938341
2004-07-01,0.0362458035133377,0.03938883127017,0.857761720067051,0.929870140681958
2004-08-01,-0.0362237602008789,-0.0361556290870219,0.79046660500897,0.860094471689343
2004-09-01,0.0844162962962962,0.0831340844687389,0.941611164446031,1.0147317226186
2004-10-01,0.139692407407407,0.120152249330195,1.2128395022566,1.25680627088812
2004-11-01,-0.0345292592592592,-0.0216798118488869,1.13643179338405,1.20787913555588
2004-12-01,0.0399399999999999,0.0276114318975681,1.22176087921181,1.26884183994534
2005-01-01,0.0703631481481481,0.0674841299612583,1.37809096910555,1.42195265753375
2005-02-01,-0.0327548148148147,-0.0599315742849324,1.30019703979971,1.27680122192418
2005-03-01,0.181476515151515,0.193263976258335,1.71762878274439,1.71682487922308
2005-04-01,0.157184718969555,0.124361558838722,2.14479849922365,2.05469345629509
2005-05-01,-0.169379206212252,-0.168171114425032,1.61213502572766,1.54098225352309
2005-06-01,0.0509769078575466,0.0557764631061184,1.74529359224565,1.68270925644002
2005-07-01,0.0487259978130126,-0.0118667803073451,1.87906076181749,1.65087413506537
2005-08-01,-0.122365238095238,-0.0136916198450578,1.52676380620704,1.61457937415095
2005-09-01,0.00411885416666667,-0.0017708734782277,1.53717117783841,1.60994928488055
2005-10-01,0.00531187500000003,0.0194658875377074,1.5506483139887,1.66075426413915
2005-11-01,-0.106969102564103,-0.0863114294828588,1.27780775288468,1.43110076009869
2005-12-01,0.0479542424242424,0.0383266366547652,1.38703829806233,1.52427667560212
2006-01-01,0.00301689700130378,0.0122433836027472,1.39423974674576,1.55518236326098
2006-02-01,-0.0713120497881356,0.00327682721684267,1.22350160272109,1.56355525437291
2006-03-01,0.0680430185633575,0.0779308352965182,1.3747953635507,1.76333525667497
2006-04-01,0.179495049771321,0.200761904785073,1.80105937552793,2.31810770636479
2006-05-01,0.0290974979822437,0.0262717455747934,1.8825631950555,2.40528018781616
2006-06-01,-0.0879025020177563,-0.0591666521947372,1.62917867798582,2.20380115931801
2006-07-01,-0.00664651600753295,-0.00629550548586144,1.61170379981593,2.18363161154392
2006-08-01,0.00491452784503632,0.0368451721036328,1.62453909086311,2.30093306618582
2006-09-01,-0.00558798576902024,-0.0246454723019941,1.60987320377313,2.2195800117324
2006-10-01,0.00642057159026598,-0.0463867068981601,1.62663008151947,2.07023429739299
2006-11-01,0.133964168618267,0.137294403958149,1.97850439665796,2.49176028526543
2006-12-01,0.134989761904762,0.121507905590463,2.3805719959951,2.91603676435199
2007-01-01,-0.0115264285714286,0.0443189421712617,2.34160607435269,3.08959137125184
2007-02-01,-0.124105757575758,-0.128237834646121,1.9268935209754,2.56515102921505
2007-03-01,-0.05858,0.0080329247970417,1.75543609851666,2.59378961932283
2007-04-01,-0.0377903688524591,-0.0753509665911008,1.65130715200433,2.32299409778179
