"date","net_return","cum_net_return","freq"
2001-11-01,-0.00747857142857143,-0.00747857142857145,1
2001-12-01,0.00433571428571429,-0.00317528209183671,1
2002-01-01,0.028553488372093,0.0252875408999689,1
2002-02-01,-0.0166103448275862,0.00825716129819254,1
2002-03-01,-0.0290767123287671,-0.0210596421342943,1
2002-04-01,-0.0436477272727273,-0.0637881638906826,1
2002-05-01,-0.000206896551724142,-0.063981862891257,1
2002-06-01,-0.0276674157303371,-0.0898790658217802,1
2002-07-01,-0.0154247191011236,-0.103917425579531,1
2002-08-01,-0.00420444444444444,-0.107684954981317,1
2002-09-01,0.00885777777777778,-0.0997810266047737,1
2002-10-01,0.000452222222222227,-0.0993739275801383,1
2002-11-01,0.00926888888888886,-0.0910261245844423,1
2002-12-01,0.000691111111111127,-0.0903979226394328,1
2003-01-01,-0.0149714285714286,-0.10401596516906,1
2003-02-01,0.0072494623655914,-0.0975205626283818,1
2003-03-01,0.0300315789473684,-0.0704176801565795,1
2003-04-01,0.0477041237113402,-0.0260727701708943,1
2003-05-01,-0.00641010101010101,-0.0323157420905866,1
2003-06-01,-0.00775049504950495,-0.0398157741409975,1
2003-07-01,0.0229274509803922,-0.0178011973704695,1
2003-08-01,-0.0271754901960784,-0.0444929313019283,1
2003-09-01,0.0112539215686274,-0.0337397296925311,1
2003-10-01,0.0597137254901961,0.0239592708406917,1
2003-11-01,-0.0123088235294118,0.0113555368746086,1
2003-12-01,0.0560196078431372,0.0680112774403097,1
2004-01-01,-0.0173803921568627,0.0494488226104453,1
2004-02-01,-0.045628431372549,0.00156411902896214,1
2004-03-01,-0.00649805825242718,-0.00494410296002901,1
2004-04-01,0.00661333333333333,0.00163653337239533,1
2004-05-01,0.00957289719626169,0.0112250969343892,1
2004-06-01,0.0300651376146789,0.0416277186331386,1
2004-07-01,0.00826756756756757,0.0502394461771893,1
2004-08-01,-0.0237796460176991,0.0252651239132715,1
2004-09-01,0.0294289473684211,0.0554375972835928,1
2004-10-01,0.0638631578947369,0.122841175206956,1
2004-11-01,-0.0260622807017544,0.093577373315225,1
2004-12-01,0.0154043859649123,0.110423261256268,1
2005-01-01,0.0289570175438596,0.142577807113575,1
2005-02-01,-0.0300070175438596,0.108292454810293,1
2005-03-01,0.0841434782608696,0.201548036888309,1
2005-04-01,0.0702008547008547,0.285897736042003,1
2005-05-01,-0.0941088495575221,0.164883379454468,1
2005-06-01,0.0163678260869565,0.183949988020965,1
2005-07-01,0.0163033613445378,0.203252352489532,1
2005-08-01,-0.0743487603305785,0.113792031717082,1
2005-09-01,-0.00764227642276424,0.105280125133228,1
2005-10-01,-0.00566774193548387,0.0990156826175537,1
2005-11-01,-0.0630793388429753,0.0296904999799772,1
2005-12-01,0.0138230158730159,0.0439239281054942,1
2006-01-01,-0.0108898305084746,0.0325557734646844,1
2006-02-01,-0.0471245614035088,-0.0161029644844995,1
2006-03-01,0.0260521367521368,0.00952965563477215,1
2006-04-01,0.075905737704918,0.0861587488807214,1
2006-05-01,-0.000652892561983478,0.0854496039124439,1
2006-06-01,-0.053398347107438,0.0274883891950961,1
2006-07-01,-0.0102008196721311,0.0170071654217083,1
2006-08-01,-0.00714180327868852,0.00974390031324979,1
2006-09-01,-0.013301652892562,-0.00368736255909885,1
2006-10-01,-0.00731176470588236,-0.0109721661375638,1
2006-11-01,0.0540568965517241,0.0424916091643137,1
2006-12-01,0.0547371681415929,0.0995546476613405,1
2007-01-01,-0.0220573913043478,0.0753013405373599,1
2007-02-01,-0.0780401785714286,-0.00861536809627217,1
2007-03-01,-0.0443151785714285,-0.0525487550920558,1
2007-04-01,-0.0409730434782609,-0.0913687161432014,1
2007-05-01,-0.0108182608695652,-0.101198526406212,1
2007-06-01,0.051985593220339,-0.0544737986141244,1
2007-07-01,-0.0157308333333333,-0.0693477137004254,1
2007-08-01,0.0381396694214876,-0.0338529431546079,1
2007-09-01,0.0504737704918033,0.0149121416539377,1
2007-10-01,0.0205245901639344,0.0357427974137856,1
2007-11-01,-0.0447411290322581,-0.0105975047295365,1
2007-12-01,-0.0222352,-0.0325970670923743,1
2008-01-01,-0.0239016129032258,-0.0557195575161777,1
2008-02-01,-0.0463087301587302,-0.0994479857213274,1
2008-03-01,-0.00645538461538464,-0.105261395339656,1
2008-04-01,0.00639166666666667,-0.0995425244248683,1
2008-05-01,0.0110679389312977,-0.0895763160749722,1
2008-06-01,0.00398235294117648,-0.0859506876395767,1
2008-07-01,-0.00358045112781955,-0.0892233965309003,1
2008-08-01,-0.0118753731343283,-0.100039208539112,1
2008-09-01,-0.0234540740740741,-0.121146955605798,1
2008-10-01,0.00348602941176469,-0.118083248044421,1
2008-11-01,-0.0575576923076923,-0.16884434109448,1
2008-12-01,0.062187591240876,-0.117156772720922,1
2009-01-01,-0.0626194244604317,-0.172439907501928,1
2009-02-01,-0.0284643356643356,-0.195995855757202,1
2009-03-01,-0.104808219178082,-0.280262098327087,1
2009-04-01,-0.0248824324324324,-0.298170928034524,1
2009-05-01,-0.00905436241610738,-0.30452554280626,1
2009-06-01,-0.0414526666666667,-0.333354813655493,1
2009-07-01,-0.0299952380952381,-0.353350994744941,1
2009-08-01,-0.011422972972973,-0.360737648854969,1
2009-09-01,0.0119268456375839,-0.353113265470944,1
2009-10-01,0.0202386666666667,-0.340021140479721,1
2009-11-01,-0.00782133333333333,-0.345183055132983,1
2009-12-01,-0.0269353333333334,-0.362820767815291,1
2010-01-01,-0.03371,-0.384300079732237,1
2010-02-01,-0.012232,-0.391831321156953,1
