"date","strategy_return","cum_return","ret_benchmark","cum_ret_strategy","cum_ret_benchmark","excess_return"
2002-07-01,-0.0054247191011236,-0.018878004720587,-0.0468,-0.018878004720587,-0.0223417392857104,0.0413752808988764
2002-08-01,0.00579555555555556,-0.0131918576901676,0.0091,-0.0131918576901676,-0.0134450491132102,-0.00330444444444444
2002-09-01,0.0188577777777778,0.00541715096681306,-0.051,0.00541715096681306,-0.0637593516084365,0.0698577777777778
2002-10-01,0.0104522222222222,0.0159259944547518,-0.0469,0.0159259944547518,-0.107669038018001,0.0573522222222222
2002-11-01,0.0192688888888889,0.0355017595612344,-0.0486,0.0355017595612344,-0.151036322770326,0.0678688888888889
2002-12-01,0.0106911111111111,0.0465724239284546,-0.0534,0.0465724239284546,-0.19637098313439,0.0640911111111111
2003-01-01,-0.00497142857142858,0.0413694638780673,0.1047,0.0413694638780673,-0.112231025068561,-0.109671428571429
2003-02-01,0.0172494623655914,0.059332527253908,0.0081,0.059332527253908,-0.105040096371617,0.0091494623655914
2003-03-01,0.0400315789473684,0.101739280950188,-9e-04,0.101739280950188,-0.105845560284882,0.0409315789473684
2003-04-01,0.0577041237113402,0.165314180715781,0.0072,0.165314180715781,-0.0994076483189332,0.0505041237113402
2003-05-01,0.00358989898989899,0.169497540916048,0.036,0.169497540916048,-0.0669863236584148,-0.032410101010101
2003-06-01,0.00224950495049505,0.17212833142393,-0.0572,0.17212833142393,-0.120354705945154,0.059449504950495
2003-07-01,0.0329274509803922,0.21072352959962,-0.0062,0.21072352959962,-0.125808506768294,0.0391274509803922
2003-08-01,-0.0171754901960784,0.189928759486821,-0.0371,0.189928759486821,-0.15824101116719,0.0199245098039216
2003-09-01,0.0212539215686274,0.215219412013208,-0.0386,0.215219412013208,-0.190732908136136,0.0598539215686274
2003-10-01,0.0697137254901961,0.299936884512654,-0.0138,0.299936884512654,-0.201900794003858,0.0835137254901961
2003-11-01,-0.00230882352941177,0.296935559646941,0.0363,0.296935559646941,-0.172929792826198,-0.0386088235294118
2003-12-01,0.0660196078431372,0.382558736692652,0.0714,0.382558736692652,-0.113876980033988,-0.00538039215686277
2004-01-01,-0.00738039215686274,0.372354911035963,0.0626,0.372354911035963,-0.058405678984116,-0.0699803921568627
2004-02-01,-0.035628431372549,0.323460058269338,0.053,0.323460058269338,-0.00850117997027422,-0.088628431372549
2004-03-01,0.00350194174757282,0.328094738298636,0.0397,0.328094738298636,0.030861323184906,-0.0361980582524272
2004-04-01,0.0166133333333333,0.350158818884237,-0.0838,0.350158818884237,-0.0555248556979892,0.100413333333333
2004-05-01,0.0195728971962617,0.376585338644885,-0.0249,0.376585338644885,-0.0790422867911093,0.0444728971962617
2004-06-01,0.0400651376146789,0.431738419676042,-0.1007,0.431738419676042,-0.171782728511245,0.140765137614679
2004-07-01,0.0182675675675676,0.457892797996556,-0.0093,0.457892797996556,-0.17948514913609,0.0275675675675676
2004-08-01,-0.0137796460176991,0.437803551308411,-0.0318,0.437803551308411,-0.205577521393562,0.0180203539823009
2004-09-01,0.0394289473684211,0.494494631859079,0.0407,0.494494631859079,-0.17324452651428,-0.00127105263157893
2004-10-01,0.0738631578947369,0.604882724824923,-0.0545,0.604882724824923,-0.218302699819252,0.128363157894737
2004-11-01,-0.0160622807017544,0.579104648005389,0.0153,0.579104648005389,-0.206342731126487,-0.0313622807017544
2004-12-01,0.0254043859649123,0.619220831962304,-0.0554,0.619220831962304,-0.250311343822079,0.0808043859649123
2005-01-01,0.0389570175438596,0.682300846320443,-0.059,0.682300846320443,-0.294542974536577,0.0979570175438596
2005-02-01,-0.0200070175438596,0.64864302377406,0.0958,0.64864302377406,-0.22696019149718,-0.11580701754386
2005-03-01,0.0941434782608696,0.803852012442668,-0.0955,0.803852012442668,-0.3007854932092,0.18964347826087
2005-04-01,0.0802008547008547,0.948522485594426,-0.0187,0.948522485594426,-0.313860804486188,0.0989008547008547
2005-05-01,-0.0841088495575222,0.784634500994115,-0.0849,0.784634500994115,-0.37211402218531,0.00079115044247785
2005-06-01,0.0263678260869565,0.83169143314511,0.019,0.83169143314511,-0.360184188606831,0.00736782608695653
2005-07-01,0.0263033613445378,0.879871074782821,0.0019,0.879871074782821,-0.358968538565184,0.0244033613445378
2005-08-01,-0.0643487603305785,0.758903701539234,0.0737,0.758903701539234,-0.311724519857438,-0.138048760330579
2005-09-01,0.00235772357723577,0.76305071026644,-0.0062,0.76305071026644,-0.315991827834322,0.00855772357723577
2005-10-01,0.00433225806451613,0.770688700924143,-0.0543,0.770688700924143,-0.353133471582919,0.0586322580645161
2005-11-01,-0.0530793388429753,0.676701715382363,0.0059,0.676701715382363,-0.349316959065258,-0.0589793388429753
2005-12-01,0.0238230158730159,0.71664580696223,0.0562,0.71664580696223,-0.312748572164725,-0.0323769841269841
2006-01-01,-0.000889830508474577,0.71511828315095,0.0835,0.71511828315095,-0.25536307794048,-0.0843898305084746
2006-02-01,-0.0371245614035088,0.651445269133832,0.0326,0.651445269133832,-0.23108791428134,-0.0697245614035088
2006-03-01,0.0360521367521368,0.710983399815314,-6e-04,0.710983399815314,-0.231549261532771,0.0366521367521368
2006-04-01,0.085905737704918,0.857966690977317,0.1093,0.857966690977317,-0.147557595818303,-0.023394262295082
2006-05-01,0.00934710743801652,0.875333305254138,0.1396,0.875333305254138,-0.0285566361945379,-0.130252892561983
2006-06-01,-0.043398347107438,0.79394693953058,0.0188,0.79394693953058,-0.0102935009549953,-0.062198347107438
2006-07-01,-0.000200819672131149,0.793586679694363,-0.0356,0.793586679694363,-0.0455270523209974,0.0353991803278689
2006-08-01,0.00285819672131148,0.798713103261653,0.0285,0.798713103261653,-0.0183245733121459,-0.0256418032786885
2006-09-01,-0.00330165289256199,0.79277437694138,0.0565,0.79277437694138,0.0371400882957178,-0.059801652892562
2006-10-01,0.00268823529411764,0.797593776295863,0.0488,0.797593776295863,0.0877525246045487,-0.0461117647058824
2006-11-01,0.0640568965517241,0.91274205486607,0.1422,0.91274205486607,0.242430933603315,-0.0781431034482759
2006-12-01,0.0647371681415929,1.03656755888343,0.2745,1.03656755888343,0.583478224877426,-0.209762831858407
2007-01-01,-0.0120573913043478,1.01201186690823,0.0414,1.01201186690823,0.649034223387351,-0.0534573913043478
2007-02-01,-0.0680401785714286,0.875114220195964,0.034,0.875114220195964,0.705101386982521,-0.102040178571429
2007-03-01,-0.0343151785714285,0.810769340888114,0.1051,0.810769340888114,0.884307542754384,-0.139415178571429
2007-04-01,-0.0309730434782609,0.754684303363685,0.2064,0.754684303363685,1.27322861957889,-0.237373043478261
2007-05-01,-0.000818260869565228,0.753248513859802,0.0699,0.753248513859802,1.43212730008745,-0.0707182608695652
2007-06-01,0.061985593220339,0.86192466305408,-0.0703,0.86192466305408,1.2611487508913,0.132285593220339
2007-07-01,-0.00573083333333333,0.851254283130894,0.1702,0.851254283130894,1.645996268293,-0.175930833333333
2007-08-01,0.0481396694214876,0.940373052335928,0.1673,0.940373052335928,2.08867144397842,-0.119160330578512
2007-09-01,0.0604737704918033,1.05771472697137,0.0639,1.05771472697137,2.28603754924865,-0.00342622950819672
2007-10-01,0.0305245901639344,1.12052562568646,0.0725,1.12052562568646,2.52427527156917,-0.0419754098360656
2007-11-01,-0.0347411290322581,1.04685617130828,-0.1819,1.04685617130828,1.88320959967074,0.147158870967742
2007-12-01,-0.0122352,1.02181247668109,0.08,1.02181247668109,2.1138663676444,-0.0922352
2008-01-01,-0.0139016129032258,0.993706022267357,-0.1669,0.993706022267357,1.59416207088455,0.152998387096774
2008-02-01,-0.0363087301587302,0.921317088289016,-0.008,0.921317088289016,1.57340877431747,-0.0283087301587302
2008-03-01,0.00354461538461536,0.92812741839889,-0.2014,0.92812741839889,1.05512424716993,0.204944615384615
2008-04-01,0.0163916666666667,0.959732640332145,0.0635,0.959732640332145,1.18562463686523,-0.0471083333333333
2008-05-01,0.0210679389312977,1.00102016792033,-0.0703,1.00102016792033,1.0319752248936,0.0913679389312977
2008-06-01,0.0139823529411765,1.02899913815061,-0.2031,1.02899913815061,0.61928105671771,0.217082352941176
2008-07-01,0.00641954887218045,1.04202439727958,0.0145,1.04202439727958,0.642760632040116,-0.00808045112781955
2008-08-01,-0.00187537313432833,1.03819483958528,-0.1363,1.03819483958528,0.418852357893049,0.134424626865672
2008-09-01,-0.0134540740740741,1.0107728152361,-0.0432,1.0107728152361,0.357557936032069,0.0297459259259259
2008-10-01,0.0134860294117647,1.03789015656275,-0.2463,1.03789015656275,0.0231914163873703,0.259786029411765
2008-11-01,-0.0475576923076923,0.940972803540066,0.0824,0.940972803540066,0.10750238909769,-0.129957692307692
2008-12-01,0.072187591240876,1.08108695489167,-0.0269,1.08108695489167,0.0777105748309617,0.099087591240876
2009-01-01,-0.0526194244604317,0.971581357073162,0.0933,0.971581357073162,0.17826097146269,-0.145919424460432
2009-02-01,-0.0184643356643357,0.935177417106616,0.0463,0.935177417106616,0.232814454441413,-0.0647643356643356
2009-03-01,-0.0948082191780822,0.751706692397097,0.1394,0.751706692397097,0.404668789390546,-0.234208219178082
2009-04-01,-0.0148824324324324,0.725637035906057,0.044,0.725637035906057,0.46647421612373,-0.0588824324324324
2009-05-01,0.000945637583892623,0.727268863143367,0.0627,0.727268863143367,0.558422149474688,-0.0617543624161074
2009-06-01,-0.0314526666666666,0.672941651347206,0.124,0.672941651347206,0.751666496009549,-0.155452666666667
2009-07-01,-0.0199952380952381,0.639490784709078,0.153,0.639490784709078,1.01967146989901,-0.172995238095238
2009-08-01,-0.00142297297297296,0.637157833632999,-0.2181,0.637157833632999,0.579181122314036,0.216677027027027
2009-09-01,0.0219268456375839,0.673055540735431,0.0419,0.673055540735431,0.645348811338994,-0.0199731543624161
2009-10-01,0.0302386666666667,0.72364650954655,0.0779,0.72364650954655,0.773521483742302,-0.0476613333333333
2009-11-01,0.00217866666666667,0.727401760742015,0.0666,0.727401760742015,0.89163801455954,-0.0644213333333333
2009-12-01,-0.0169353333333334,0.698147636123262,0.0256,0.698147636123262,0.940063947732264,-0.0425353333333334
2010-01-01,-0.02371,0.65788455567078,-0.0878,0.65788455567078,0.769726333121371,0.06409
2010-02-01,-0.00223200000000001,0.654184157342522,0.021,0.654184157342522,0.80689058611692,-0.023232
2010-03-01,0.00704866666666667,0.66584395007291,0.0187,0.66584395007291,0.840679440077306,-0.0116513333333333
